sparks_id,current_name,founding_name,year_founded,year_inactive,year_demolished,country_code,subdivision_code,city,latitude_dd,longitude_dd,wikidata_id,mlb_id,espn_id
fd317pbn,Northwest Stadium,Jack Kent Cooke Stadium,1997,,,US,MD,Landover,38.90768,-76.86451,Q583085,,3719
fv8hjl51,Comerica Park,Comerica Park,2000,,,US,MI,Detroit,42.33944,-83.04896,Q868482,2394,45
fzbbh58c,Fiserv Forum,Fiserv Forum,2018,,,US,WI,Milwaukee,43.04502,-87.91739,Q20372160,,5777
g0qj8903,Caesars Superdome,Louisiana Superdome,1975,,,US,LA,New Orleans,29.95104,-90.08109,Q756452,,3493
gl109vgj,The O2 Arena,The O2 Arena,2007,,,GB,ENG,London,51.50293,0.00321,Q5364202,,6272
gntz425s,Truist Park,SunTrust Park,2017,,,US,GA,Cumberland,33.89113,-84.46788,Q17003430,4705,218
gy13xwnv,Lucas Oil Stadium,Lucas Oil Stadium,2008,,,US,IN,Indianapolis,39.76009,-86.16383,Q867160,,3812
hf4jm4x4,Olympiastadion Berlin,Olympiastadion Berlin,1936,,,DE,BE,Berlin,51.55597,-0.27954,Q151374,,7696
hx8k7nxz,Hard Rock Stadium,Joe Robbie Stadium,1987,,,US,FL,Miami Gardens,25.95774,-80.23897,Q864339,,3948
hxn7j9mx,T-Mobile Park,Safeco Field,1999,,,US,WA,Seattle,47.59111,-122.33288,Q1193117,680,41
hxws0dq3,Uber Arena,O2 World,2008,,,DE,BE,Berlin,52.50636,13.44377,Q265463,,11593
j4fbhk07,Intuit Dome,Intuit Dome,2024,,,US,CA,Inglewood,33.94378,-118.34224,Q54958436,,10642
jkxgyks5,Gainbridge Fieldhouse,Conseco Fieldhouse,1999,,,US,IN,Indianapolis,39.76393,-86.15552,Q545007,,2183
jrq2fbfj,Golden 1 Center,Golden 1 Center,2016,,,US,CA,Sacramento,38.58019,-121.49960,Q7011384,,5310
k2cbyrm3,Busch Stadium,Busch Stadium,2006,,,US,MI,St. Louis,38.62241,-90.19339,Q253546,2889,87
kd0bd4c2,Rogers Centre,SkyDome,1989,,,CA,ON,Toronto,43.64125,-79.38900,Q76318,14,14
kpqs9sj5,Rocket Arena,Gund Arena,1994,,,US,OH,Cleveland,41.49657,-81.68814,Q387157,,3417
ky4ljmnt,Lambeau Field,City Stadium,1957,,,US,WI,Green Bay,44.50131,-88.06221,Q860790,,3798
lb1123p8,State Farm Arena,Philips Arena,1999,,,US,GA,Atlanta,33.75724,-84.39645,Q1123297,,1827
lkjp2vxb,Journey Bank Ballpark,Memorial Field,1926,,,US,PA,Williamsport,41.24205,-77.04738,Q4951307,2735,223
lknhnle7,Barclays Center,Barclays Center,2012,,,US,NY,Brooklyn,40.68260,-73.97515,Q807966,,3559
lqv9qzd1,Dodger Stadium,Dodger Stadium,1962,,,US,CA,Los Angeles,34.07341,-118.24022,Q247420,22,19
m6sx76sf,GEHA Field at Arrowhead Stadium,Arrowhead Stadium,1972,,,US,MI,Kansas City,39.04890,-94.48403,Q544553,,3622
m7b6qpee,American Family Field,Miller Park,2001,,,US,WI,Milwaukee,43.02842,-87.97164,Q1339293,32,4242
mej3rktq,Petco Park,Petco Park,2004,,,US,CA,San Diego,32.70702,-117.15708,Q1194586,2680,85
mhjn2tl2,Mercedes-Benz Stadium,Mercedes-Benz Stadium,2017,,,US,GA,Atlanta,33.75543,-84.40084,Q7007552,,5348
n80bm3x5,Raymond James Stadium,Raymond James Stadium,1998,,,US,FL,Tampa,27.97596,-82.50336,Q1141343,,3886
n8pjw4ys,Scotiabank Arena,Air Canada Centre,1999,,,CA,ON,Toronto,43.64343,-79.37907,Q406972,,1838
nnwnk6d6,Little Caesars Arena,Little Caesars Arena,2017,,,US,MI,Detroit,42.34109,-83.05520,Q18154984,,5404
nw37vq6j,Chase Center,Chase Center,2019,,,US,CA,San Francisco,37.76789,-122.38740,Q15262098,,6270
p2ykq00q,MetLife Stadium,New Meadowlands Stadium,2010,,,US,NJ,East Rutherford,40.81355,-74.07433,Q10862290,,3839
qh8qcfxc,Progressive Field,Jacobs Field,1994,,,US,OH,Cleveland,41.49554,-81.68528,Q1154053,5,5
qymwzvbp,Lincoln Financial Field,Lincoln Financial Field,2003,,,US,PA,Philadelphia,39.90081,-75.16747,Q1052370,,3806
qz21j992,Tottenham Hotspur Stadium,Tottenham Hotspur Stadium,2019,,,GB,ENG,London,51.60423,-0.06617,Q55074091,,5534
r2qxr2yt,Kia Center,Amway Center,2010,,,US,FL,Orlando,28.53924,-81.38388,Q481795,,3432
r6ebclr6,Delta Center,Delta Center,1991,,,US,UT,Salt Lake City,40.76826,-111.90110,Q82294,,3093
rnj1kzdy,Empower Field at Mile High,Invesco Field,2001,,,US,CO,Denver,39.74390,-105.02012,Q1046135,,3937
rv5hrgh4,PNC Park,PNC Park,2001,,,US,PA,Pittsburgh,40.44707,-80.00618,Q1151177,31,47
rzwkelgj,Angel Stadium,Anaheim Stadium,1966,,,US,CA,Anaheim,33.79990,-117.88317,Q531897,1,3
sblh1fly,Yankee Stadium,Yankee Stadium,2009,,,US,NY,Bronx,40.82949,-73.92693,Q753529,3313,208
sr7hk96c,Estadio Santiago Bernabéu,Estadio Real Madrid Club de Fútbol,1947,,,ES,MD,Madrid,40.45309,-3.68824,Q164027,,1353
sw9kzkdx,Frost Bank Center,SBC Center,2002,,,US,TX,San Antonio,29.42702,-98.43746,Q298573,,780
t9r12mn9,Spectrum Center,Charlotte Bobcats Arena,2005,,,US,NC,Charlotte,35.22519,-80.83935,Q983870,,1893
tehebes0,Soldier Field,Municipal Grant Park Stadium,1924,,,US,IL,Chicago,41.86227,-87.61673,Q1132413,,3933
v28kdwh7,Crypto.com Arena,Staples Center,1999,,,US,CA,Los Angeles,34.04306,-118.26713,Q186080,,1841
v3bct44v,NRG Stadium,Reliant Stadium,2002,,,US,TX,Houston,29.68472,-95.41081,Q1058864,,3891
v6kn5mgt,Daikin Park,Enron Field,2000,,,US,TX,Houston,29.75671,-95.35537,Q1193671,2392,44
vbjxgrj8,State Farm Stadium,Cardinals Stadium,2006,,,US,AZ,Glendale,33.52765,-112.26257,Q756433,,3970
vc2kskgs,American Airlines Center,American Airlines Center,2001,,,US,TX,Dallas,32.79050,-96.81029,Q463345,,516
vtq7w9km,Allegiant Stadium,Allegiant Stadium,2020,,,US,NV,Paradise,36.09070,-115.18337,Q27768421,,6501
wmk3z54f,Gillette Stadium,CMGI Field,2002,,,US,MA,Foxborough,42.09092,-71.26434,Q373355,,3738
ww52t2cg,Moody Center,Moody Center,2022,,,US,TX,Austin,30.28096,-97.73064,Q79477138,,7317
x41s6c3m,Tokyo Dome,Tokyo Dome,1988,,,JP,13,Tokyo,35.70557,139.75187,Q733748,2397,42
xs1et22g,Arena CDMX,Arena CDMX,2012,,,MX,CMX,Ciudad de México,19.49766,-99.17515,Q6826206,,5779
y3qg6fdf,Great American Ball Park,Great American Ball Park,2003,,,US,OH,Cincinnati,39.09748,-84.50705,Q979975,2602,83
zmn2n2hn,Smoothie King Center,New Orleans Arena,1999,,,US,LA,New Orleans,29.94908,-90.08196,Q1515840,,985
zn5lvl4x,Ball Arena,Pepsi Center,1999,,,US,CO,Denver,39.74866,-105.00760,Q795470,,892
